Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Products API,50,70,64,93,102,139,45,139,0.000%,.84949,11.58,0.10
TOTAL,50,70,64,93,102,139,45,139,0.000%,.84949,11.58,0.10
