Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Products API,10,80,64,84,84,223,43,223,0.000%,.37160,5.06,0.04
TOTAL,10,80,64,84,84,223,43,223,0.000%,.37160,5.06,0.04
