Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get All Products,50,58,54,71,76,97,44,97,0.000%,.85111,11.60,0.10
TOTAL,50,58,54,71,76,97,44,97,0.000%,.85111,11.60,0.10
