Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
,10,0,0,0,0,0,0,0,100.000%,.37051,0.30,0.00
TOTAL,10,0,0,0,0,0,0,0,100.000%,.37051,0.30,0.00
